datetime,request_count
7/6/1995 13:15,600
7/6/1995 13:20,572
7/6/1995 13:25,487
7/6/1995 13:30,656
7/6/1995 13:35,496
7/6/1995 13:40,564
7/6/1995 13:45,642
7/6/1995 13:50,513
7/6/1995 13:55,651
7/6/1995 14:00,587
7/6/1995 14:05,648
7/6/1995 14:10,551
7/6/1995 14:15,559
7/6/1995 14:20,651
7/6/1995 14:25,622
7/6/1995 14:30,572
7/6/1995 14:35,571
7/6/1995 14:40,435
7/6/1995 14:45,572
7/6/1995 14:50,617
7/6/1995 14:55,539
7/6/1995 15:00,626
7/6/1995 15:05,628
7/6/1995 15:10,549
7/6/1995 15:15,494
7/6/1995 15:20,553
7/6/1995 15:25,596
7/6/1995 15:30,545
7/6/1995 15:35,558
7/6/1995 15:40,655
7/6/1995 15:45,552
7/6/1995 15:50,683
7/6/1995 15:55,622
7/6/1995 16:00,650
7/6/1995 16:05,602
7/6/1995 16:10,551
7/6/1995 16:15,595
7/7/1995 8:00,345
7/7/1995 8:05,376
7/7/1995 8:10,297
7/7/1995 8:15,407
7/7/1995 8:20,349
7/7/1995 8:25,357
7/7/1995 8:30,368
7/7/1995 8:35,448
7/7/1995 8:40,540
7/7/1995 8:45,449
7/7/1995 8:50,515
7/7/1995 8:55,392
7/7/1995 9:00,457
7/7/1995 9:05,402
7/7/1995 9:10,469
7/7/1995 9:15,587
7/7/1995 9:20,424
7/7/1995 9:25,478
7/7/1995 9:30,344
7/7/1995 9:35,493
7/7/1995 9:40,447
7/7/1995 9:45,487
7/7/1995 9:50,354
7/7/1995 9:55,464
7/7/1995 10:00,539
7/7/1995 10:05,541
7/7/1995 10:10,501
7/7/1995 10:15,531
7/7/1995 10:20,577
7/7/1995 10:25,564
7/7/1995 10:30,618
7/7/1995 10:35,525
7/7/1995 10:40,84
7/7/1995 10:45,546
7/7/1995 10:50,480
7/7/1995 10:55,438
7/7/1995 11:00,485
7/7/1995 11:05,509
7/7/1995 11:10,553
7/7/1995 11:15,537
7/7/1995 11:20,524
7/7/1995 11:25,491
7/7/1995 11:30,562
7/7/1995 11:35,523
7/7/1995 11:40,609
7/7/1995 11:45,623
7/7/1995 11:50,564
7/7/1995 11:55,556
7/7/1995 12:00,534
7/7/1995 12:05,492
7/7/1995 12:10,462
7/7/1995 12:15,668
7/7/1995 12:20,517
7/7/1995 12:25,602
7/7/1995 12:30,570
7/7/1995 12:35,554
7/7/1995 12:40,556
7/7/1995 12:45,635
7/7/1995 12:50,590
7/7/1995 12:55,604
7/7/1995 13:00,284
7/7/1995 13:05,650
7/7/1995 13:10,559
7/7/1995 13:15,578
7/7/1995 13:20,462
7/7/1995 13:25,537
7/7/1995 13:30,450
7/7/1995 13:35,493
7/7/1995 13:40,451
7/7/1995 13:45,475
7/7/1995 13:50,437
7/7/1995 13:55,586
7/7/1995 14:00,492
7/7/1995 14:05,253
7/7/1995 14:10,239
7/7/1995 14:15,443
7/7/1995 14:20,592
7/7/1995 14:25,396
7/7/1995 14:30,392
