date_time,request_count
20210426-21,2503937.0
20210426-22,2401201.0
20210426-23,2237310.0
20210427-00,2127529.0
20210427-01,2111011.0
20210427-02,2153378.0
20210427-03,2147202.0
20210427-04,2076338.0
20210427-05,1990100.0
20210427-06,1926866.0
20210427-07,1935245.0
20210427-08,1934459.0
20210427-09,1964172.0
20210427-10,1986342.0
20210427-11,2016838.0
20210427-12,2118955.0
20210427-13,2260137.0
20210427-14,2414620.0
20210427-15,2494456.0
20210427-16,2520065.0
20210427-17,2505090.0
20210427-18,2525126.0
20210427-19,2528162.0
20210427-20,2508310.0
20210427-21,2482858.0
20210427-22,2382922.0
20210427-23,2211729.0
20210428-00,2106232.0
20210428-01,2081727.0
20210428-02,2124246.0
20210428-03,2127694.0
20210428-04,2066318.0
20210428-05,1977268.0
20210428-06,1928414.0
20210428-07,1929040.0
20210428-08,1923689.0
20210428-09,1940039.0
20210428-10,1971548.0
20210428-11,2003626.0
20210428-12,2093803.0
20210428-13,2256689.0
20210428-14,2390574.0
20210428-15,2470312.0
20210428-16,2510526.0
20210428-17,2488410.0
20210428-18,2489896.0
20210428-19,2506311.0
20210428-20,2491917.0
20210428-21,2454073.0
20210428-22,2364979.0
20210428-23,2209235.0
20210429-00,2098065.0
20210429-01,2066711.0
20210429-02,2079608.0
20210429-03,2085217.0
20210429-04,2039578.0
20210429-05,1960736.0
20210429-06,1924683.0
20210429-07,1947026.0
20210429-08,1931453.0
20210429-09,1956743.0
20210429-10,1985450.0
20210429-11,2018198.0
20210429-12,2097393.0
20210429-13,2251066.0
20210429-14,2389634.0
20210429-15,2489980.0
20210429-16,2506089.0
20210429-17,2496227.0
20210429-18,2506988.0
20210429-19,2492590.0
20210429-20,2466386.0
20210429-21,2436204.0
20210429-22,2340566.0
20210429-23,2198931.0
20210430-00,2110546.0
20210430-01,2037319.0
20210430-02,2043682.0
20210430-03,2069083.0
20210430-04,2030054.0
20210430-05,1956536.0
20210430-06,1912829.0
20210430-07,1884466.0
20210430-08,1862662.0
20210430-09,1867753.0
20210430-10,1891582.0
20210430-11,1931146.0
20210430-12,2016307.0
20210430-13,2179877.0
20210430-14,2323892.0
20210430-15,2393518.0
20210430-16,2414847.0
20210430-17,2397590.0
20210430-18,2400938.0
20210430-19,2404786.0
20210430-20,2391781.0
20210430-21,2366929.0
20210430-22,2286690.0
20210430-23,2141357.0
